,BGGId,Name,Description,NumUserRatings,ImagePath,NumOwned,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Rank:boardgame
0,1,Die Macher,die macher game seven sequential political race different region germany player charge national political party manage limited resource help party victory win party victory point regional election different way score victory point regional election supply eighty victory point depend size region party second party win regional election medium influence region party receive mediacontrol victory point party national party membership grow game progress supply fair number victory point lastly party score victory point party platform match national opinion end gamethe   edition feature party old west germany support   player   edition support player reunite germany update feature rule     edition support player add short fiveround variant additional rule update original designer,5354,https://cf.geekdo-images.com/rpwCZAjYLD940NWwP3SRoA__original/img/yR0aoBVKNrAmmCuBeSzQnMflLYg=/0x0/filters:format(jpeg)/pic4718279.jpg,7498,1986,4.3206,7.61428,3,5,240,14,316
1,3,Samurai,samurai set medieval japan player compete gain favor faction samurai peasant priest represent helmet rice paddy buddha figure scatter board feature island japan competition wage use hexagonal tile help curry favor faction mdash player lightningquick strike horseback ronin ship approach conquest methodically figure helmet rice paddy buddha surround award player gain favor corresponding groupgameplay continue symbol type remove board figure remove play tie influenceat end game player compare capture symbol type compete majority type tie uncommon break base number quotnonmajorityquot symbol player collectedthe game call knizia tilelaye trilogy,15146,https://cf.geekdo-images.com/o9-sNXmFS_TLAb7ZlZ4dRA__original/img/TPKZgpNxB_C73RNbhKyP6UR76X0=/0x0/filters:format(jpeg)/pic3211873.jpg,15578,1998,2.4859,7.45601,2,4,60,10,224
2,5,Acquire,acquire player strategically invest business try retain majority stock   business grow tile placement start merge give majority stockholder acquire business sizable bonus reinvest chain   investor acquire company cash stock current value trade share newer large business   game race acquire great wealthhistory acquire sid sackson classic take different form year depend publisher rule game play stay   version m bookshelf edition include rule player variant original version m bookshelf seriesmany book website incorrectly list   publication m company previously copyright artwork release game   m actually receive idea game quotvacationsquot sid sackson   decide idea artwork develop year game call quotacquirequot ms original game idea game call acquire good decide sid idea vacation concept acquire release limited test market game   midwestern city december   box   copyright game sid original rule m release mass market game   take liberty sid original idea change rule game play match production desire release outer box copyright   inner box rule date december    test market world map wood tile edition   date   wood tile chipboard plastic overlay amp stock print back   date   plastic tile chipboard plastic overlay amp stock print back edition print back    date   plastic tile chipboard plastic overlay amp nonwax coat stock edition stock   date   plastic tile clear plastic board paper underlay   inner box game lot mixed part   date   plastic tile yellow hard plastic board   m sell right game acquire avalon hill company   date   plastic tile yellow hard plastic board redesign money inner box edition produce            amp    date   gray box edition new box artwork content regular   edition edition produce    date   large box cardboard edition chipboard board tile special power variant tile inspire german edition   avalon hill sell right game acquire hasbro   date   large box large plastic board tile d company building redesign stock amp money large info card   hasbro assign right game acquire subsidiary wizard coast   lloyd rule acquire public major rule change help bring balance game acquire   intention sid sackson original idea    date   cardboard edition chipboard board amp tile redesign stock amp money   date   current affordable massmarket edition look sight similar previous modern edition criticise use inferior design choice hardtoread greyongrey emboss slot unusual tile font contain modify rule slightly small playing grid change criticise ultimately improve sackson original design generally regard damaging,18655,https://cf.geekdo-images.com/3C--kJRhi6kTPHsr9dNaWw__original/img/WeRigNSL9w0EP12b2EJfpHoh4M0=/0x0/filters:format(jpeg)/pic3299296.jpg,23735,1964,2.5031,7.33861,2,6,90,12,290
3,7,Cathedral,cathedral player set piece different color piece shape building cover square unit player take single neutral cathedral piece place board player alternate place building board player place building player capture territory surround area occupy opponent neutral building capture piece remove capture territory offlimits opponent player few square unit building nt place win,3320,https://cf.geekdo-images.com/LAzZ0q7ok2x92yQxj1tS2A__original/img/sfRg4rfnuSQ8KssBk7AJFdTfMCw=/0x0/filters:format(jpeg)/pic6458581.jpg,6021,1978,1.795,6.52083,2,2,20,8,1969
4,10,Elfenland,elfenland redesign original white wind game elfenroad   game set mythical world elf   group fledgling elve player charge visit elfencitie course   round   accomplish task use form transportation giant pig elfcart unicorn raft magic cloud trollwagon dragonsgameplay   player begin elf capitol draw face movement tile deal transport card secret home city card reach end th round lose point city space away home end game marker player color place city board collect player visit city count   point        round proceed   stage   round consist drawing tile show differ type transport raft combination face face tile player nt like   tile face draw blind face tile hope need   transport tile need match transportation card hand use effectively   player total   tile turn place tile road run elf city   transport tile place road player use player tile travel matching card hand   frequently cause readjustment plan travel route player tile allow far short think   player play tile help hinder play slow mode transport player perceive patheach mode transport certain terrain travel quickly slowly list transportation card number terrain symbol   number terrain symbol equal matching card play give tile give terrain   example magic cloud tile place mountain magic cloud card travel   mountain symbol card mean magic cloud fast mountain tile place road forest terrain require   magic cloud card travel route   forest symbol card mean magic cloud slow forest   magic cloud travel desert terrain desert symbol card mode transport different raft river lake need tile raft slow upstream   raft card need fast downstream   card need   small lake require   raft card travel large lake require   card travel   player unused transport counter   transportation card round nextthe second round begin player finish place transportation tile round   player play card move elfboot board collect token city visit   transport tile route player match transportation card caravan play   transportation card handas bit player trouble tile place transportation tile round   counter mean order travel path additional card transport type play   card caravanvictory end round   player visit   city winner   game end round   home city reveal player subtract point city away home subtract collect city token   person high score win,8324,https://cf.geekdo-images.com/Ea4jN5Ko5bPrXrU_AYhhzg__original/img/DEi0SFU6mAMZYycGTEJAV4ZBRVw=/0x0/filters:format(jpeg)/pic1798136.jpg,10115,1998,2.1578,6.69695,2,6,60,10,1117
5,11,Bohnanza,bohnanza bohnanza family game publish different editionsin game plant harvest bean card order earn coin player start hand random bean card card number correspond number type bean deck unlike card game nt rearrange order card hand use order ve pick deck mdash trade player heart gameon turn plant card hand quotfieldsquot field hold type bean plant type bean s field harvest field room new arrival usually nt good reveal card deck trade card card hand card player future promise card receive right trading complete mdash trade turn involve active player mdash end turn draw card deck place handwhen harvest bean receive coin base number bean card field quotbeanometerquot particular type bean flip   card field transform coin place remainder card discard pile deck run shuffle discard play deck time end game harvest field earn coin winsthe original german edition support   player english version rio grande game come edition german expansion include slightly oversized box difference content bean s weinbrandbohne brandy bean replace wachsbohne wax bean edition include rule seven player like erweiterungsset adapt twoplayer rule al cabohne order allow people play bohnanza,39886,https://cf.geekdo-images.com/8SADtu_4zBH_UJrCo935Iw__original/img/RNuAr2CDbxE3XzeJVkxj4Df3eVM=/0x0/filters:format(jpeg)/pic6348964.jpg,59803,1997,1.6751,7.04068,2,7,45,13,468
6,12,Ra,ra auction setcollection game ancient egyptian theme   turn player able purchase lot tile bidding tile sun   player sun player continue likewise set situation single uncontested player bidding tile end round occur   tension build round end player chance win lot epoch   tile immediate point prevent negative point have certain type end round epoch point final round   game last quotepochsquot round   game offer short learning curve experienced player find fastmove quick playfrom boxthe game span   year egyptian history hourthe player seek expand power fame way accomplish influence pharaohs building monument farm nile pay homage god advance technology culture people ra auction set collect game player choose risk great reward glory sun god ra,19685,https://cf.geekdo-images.com/1m3z3iX0iVtII8AEMuWOeA__original/img/ksL-5e9Bw-ognDVyAB8C4fjLZhY=/0x0/filters:format(jpeg)/pic3013552.jpg,19094,1999,2.3498,7.47924,2,5,60,12,186
7,13,Catan,catan settler catan player try dominant force island catan build settlement city road turn dice roll determine resource island produce player build spend resource sheep wheat wood brick ore depict resource card land type exception unproductive desert produce specific resource hill produce brick forest produce wood mountain produce ore field produce wheat pasture produce sheepsetup includes randomly place large hexagonal tile show resource desert honeycomb shape surround water tile contain port exchange number disk correspond die roll sided dice place resource tile player give settlement think house road stick turn place intersection border resource tile player collect hand resource card base hex tile lastplace house adjacent robber pawn place desert tilea turn consist possibly play development card roll dice collect resource card base roll position house upgrade citiesmdashthink hotel   roll turn resource card possible desire improvement trading card port trading resource card player   roll active player move robber new hex tile steal resource card player build structure adjacent tilepoint accumulate build settlement city have long road large army development card gather certain development card simply award victory point player gather   point hold secret announce total claim wincatan win multiple award popular game recent history amazing ability appeal experienced gamer new hobbydie siedler von catan originally publish kosmo go multiple edition license mayfair undergo edition settler catan   formally rename catan well represent core base game catan series republish travel edition portable edition compact edition special gallery edition replace   family edition anniversary wooden edition deluxe d collector edition basic simply catan beginner version entirely new theme japan asia settler catan rockman edition numerous spinoff expansion game,107141,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__original/img/xV7oisd3RQ8R-k18cdWAYthHXsA=/0x0/filters:format(jpeg)/pic2419375.jpg,165651,1995,2.3139,7.13746,3,4,120,10,427
8,15,Cosmic Encounter,request fantasy flight games board game geek list edition cosmic encounter separate entry edition game core feature compatible expansion production differ entry original   eon versionplayer represent alien race seek spread foreign world   accomplish challenge player enlist aid interested party   alien power unique race player way bend outright break rule gamethe game continue player occupy planet system win shared victory possible player need occupy one system win,3883,https://cf.geekdo-images.com/-h1dJq8he4yvRG7rRzF-nQ__original/img/Acu3-TEjeRexlWAGcp1vwYV9et4=/0x0/filters:format(jpeg)/pic428608.jpg,4326,1977,2.3747,6.91053,2,6,90,12,1190
9,18,RoboRally,robot robo rally automobile factory spend weekday toil assembly line hard hour building highspeed supercar action saturday night factory world mad machine dangerous scheme robot engage epic raceit take speed wit dirty trick racing legend player choose robot direct move play card chaos ensue player reveal card ve choose player face obstacle like industrial laser gape pit move conveyor belt   advantage player aim checkpoint numerical order player reach checkpoint win source httpavalonhillwizardscomgamesroborallycomingsoonin roborally player control different robot race dangerous factory floor goal place board navigate robot specific order board combine different way accommodate different player count race long short player desirein general player fill robot quotregistersquot facedown movement card happen simultaneously time element involve nt act fast force place card randomly fill rest start register reveal card card high number move resolve movement reveal card example movement card turn   degree leave right forward   space backward   space big variety plan perfect route robot run push course disastrous nt reprogram card fix itrobot fire laser factory element resolve movement robot damage damage certain movement card fix long change destroy entirely robot claim goal correct order win award point play tournament stylethe game reprint avalon hill hasbrowotc,22840,https://cf.geekdo-images.com/eJx8hRJ6-86C2VrhECwEPA__original/img/-9I8B82hDOO1n0h9urwZUdz6bqc=/0x0/filters:format(jpeg)/pic1000553.jpg,26283,1994,2.4302,7.07714,2,8,120,12,473
